date,rain_mm,week,year
2017-07-27,7.6,30,2017
2017-07-28,0.0,30,2017
2017-07-29,0.0,30,2017
2017-07-30,0.0,30,2017
2017-07-31,0.8,31,2017
2017-08-01,2.3,31,2017
2017-08-02,0.0,31,2017
2017-08-03,0.0,31,2017
2017-08-04,9.4,31,2017
2017-08-05,1.0,31,2017
2017-08-06,0.0,31,2017
2017-08-07,1.0,32,2017
2017-08-08,0.0,32,2017
2017-08-09,0.0,32,2017
2017-08-10,0.0,32,2017
2017-08-11,2.5,32,2017
2017-08-12,0.0,32,2017
2017-08-13,0.0,32,2017
2017-08-14,0.0,33,2017
2017-08-16,0.0,33,2017
2017-08-17,8.7,33,2017
2017-08-18,0.0,33,2017
2017-08-19,0.0,33,2017
2017-08-20,0.0,33,2017
2017-08-21,0.0,34,2017
2017-08-22,2.0,34,2017
2017-08-23,0.0,34,2017
2017-08-24,0.0,34,2017
2017-08-25,0.0,34,2017
2017-08-26,0.0,34,2017
2017-08-27,0.0,34,2017
2017-08-28,0.0,35,2017
2017-08-29,0.0,35,2017
2017-08-30,0.0,35,2017
2017-08-31,1.4,35,2017
2017-09-01,0.0,35,2017
2017-09-02,0.0,35,2017
2017-09-03,6.0,35,2017
2017-09-05,10.2,36,2017
2017-09-06,0.0,36,2017
2017-09-07,5.5,36,2017
2017-09-08,0.0,36,2017
2017-09-09,0.0,36,2017
2017-09-10,0.0,36,2017
2017-09-11,0.0,37,2017
2017-09-12,0.0,37,2017
2017-09-13,0.0,37,2017
2017-09-14,0.0,37,2017
2017-09-15,0.0,37,2017
2017-09-18,0.0,38,2017
2017-09-19,0.0,38,2017
2017-09-20,0.0,38,2017
2017-09-21,0.0,38,2017
2017-09-22,0.0,38,2017
2017-09-23,0.0,38,2017
2017-09-24,0.0,38,2017
2017-09-29,2.7,39,2017
2018-05-01,0.0,18,2018
2018-05-02,0.0,18,2018
2018-05-03,5.8,18,2018
2018-05-04,6.3,18,2018
2018-05-05,2.2,18,2018
2018-05-06,0.5,18,2018
2018-05-07,0.0,19,2018
2018-05-08,0.0,19,2018
2018-05-09,0.0,19,2018
2018-05-10,2.2,19,2018
2018-05-11,0.0,19,2018
2018-05-12,0.0,19,2018
2018-05-13,0.0,19,2018
2018-05-14,0.0,20,2018
2018-05-15,14.1,20,2018
2018-05-16,0.0,20,2018
2018-05-17,0.0,20,2018
2018-05-18,0.0,20,2018
2018-05-19,8.8,20,2018
2018-05-20,0.0,20,2018
2018-05-21,0.0,21,2018
2018-05-22,7.1,21,2018
2018-05-23,0.0,21,2018
2018-05-24,0.0,21,2018
2018-05-25,0.0,21,2018
2018-05-26,0.0,21,2018
2018-05-27,0.0,21,2018
2018-05-28,0.0,22,2018
2018-05-29,0.0,22,2018
